2016-12-20 16:39:19.477697

topic-folder:/home/ec2-user/data/topics/
cl-file:/home/ec2-user/git/tfidf/result-new/b2-1.txt
cl-floder:/home/ec2-user/data/lsaclass/
zipf:0.1
stype[0(tfidf)/1(tfidf2)/2(lsa)/3(lda)]:2
dtype[<0(diff*rand)/0(diff)/1(same)/>=2(diff*same)]:-10
output-floder:/home/ec2-user/git/userquery/result-new

三菱マテリアル株式会社

@/home/ec2-user/data/topics/5006 140
@/home/ec2-user/data/topics/3884 141
@/home/ec2-user/data/topics/3815 141
@/home/ec2-user/data/topics/4826 141
@/home/ec2-user/data/topics/3894 141
@/home/ec2-user/data/topics/4963 141
@/home/ec2-user/data/topics/1869 141
@/home/ec2-user/data/topics/1739 142
@/home/ec2-user/data/topics/2097 143
@/home/ec2-user/data/topics/4007 143
ブラザー工業株式会社

@/home/ec2-user/data/topics/1906 144
@/home/ec2-user/data/topics/4162 144
@/home/ec2-user/data/topics/2086 144
@/home/ec2-user/data/topics/1183 145
@/home/ec2-user/data/topics/3507 146
@/home/ec2-user/data/topics/1686 147
@/home/ec2-user/data/topics/1636 147
@/home/ec2-user/data/topics/1076 148
@/home/ec2-user/data/topics/1030 149
@/home/ec2-user/data/topics/3789 149
@/home/ec2-user/data/topics/3379 150
@/home/ec2-user/data/topics/4692 150
@/home/ec2-user/data/topics/3644 150
@/home/ec2-user/data/topics/1164 150
@/home/ec2-user/data/topics/4256 151
@/home/ec2-user/data/topics/4842 151
@/home/ec2-user/data/topics/1789 151
@/home/ec2-user/data/topics/1786 151
@/home/ec2-user/data/topics/4548 151
@/home/ec2-user/data/topics/3477 152
@/home/ec2-user/data/topics/1068 153
@/home/ec2-user/data/topics/1475 153
@/home/ec2-user/data/topics/3613 153
@/home/ec2-user/data/topics/1132 154
@/home/ec2-user/data/topics/1275 154
@/home/ec2-user/data/topics/2085 154
@/home/ec2-user/data/topics/3995 155
@/home/ec2-user/data/topics/1300 155
@/home/ec2-user/data/topics/3686 156
